Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2025/03/04 10:12,011,100428660,011,100428660,1250.00,US Dollar,1250.00,US Dollar,Reinvestment,0
2025/03/04 11:03,011,100428660,012,8000EBD30,48000.00,US Dollar,48000.00,US Dollar,Cheque,1
2025/03/04 11:41,012,8000EBD30,013,8000F4580,15900.00,US Dollar,15900.00,US Dollar,Credit Card,1
2025/03/04 12:05,012,8000EBD30,014,80021DAC0,15900.00,US Dollar,15900.00,US Dollar,Credit Card,1
2025/03/04 12:31,012,8000EBD30,015,8004ADB70,15800.00,US Dollar,15800.00,US Dollar,Credit Card,1
2025/03/05 09:14,013,8000F4580,011,100428660,15700.00,US Dollar,15700.00,US Dollar,Wire,1
2025/03/05 09:52,014,80021DAC0,011,100428660,15700.00,US Dollar,15700.00,US Dollar,Wire,1
2025/03/05 10:30,015,8004ADB70,011,100428660,15600.00,US Dollar,15600.00,US Dollar,Wire,1
2025/03/06 14:00,020,900000001,021,900000002,320.55,US Dollar,320.55,US Dollar,ACH,0
2025/03/06 15:22,021,900000002,022,900000003,180.00,US Dollar,180.00,US Dollar,ACH,0
2025/03/07 08:45,022,900000003,020,900000001,95.25,US Dollar,95.25,US Dollar,ACH,0
2025/03/07 16:10,020,900000001,023,900000004,1500.00,US Dollar,1500.00,US Dollar,Cheque,0
2025/03/08 11:00,023,900000004,024,900000005,2750.80,US Dollar,2750.80,US Dollar,Wire,0
2025/03/08 12:00,024,900000005,020,900000001,640.00,US Dollar,640.00,US Dollar,Wire,0
2025/03/09 10:00,030,700000001,031,700000002,9800.00,Euro,9800.00,Euro,Wire,0
2025/03/09 10:05,031,700000002,030,700000001,50.00,US Dollar,45.90,Euro,Wire,0
2027/01/01 10:00,040,600000001,041,600000002,10.00,US Dollar,10.00,US Dollar,ACH,0
2025/03/10 10:00,,600000003,041,600000004,10.00,US Dollar,10.00,US Dollar,ACH,0
2025/03/10 11:00,042,600000005,042,600000005,-5.00,US Dollar,-5.00,US Dollar,ACH,0
